                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.48174,                0.35596,                 1.0286,                0.98599,                0.95429,                0.97898,                0.89608,                0.46424,                0.30792,                0.98954,              0.0006634,              0.0006634,              0.0006634
                     37,                0.47587,                0.34705,                 1.0316,                0.97229,                0.98036,                0.98634,                 0.9121,                 0.4634,                0.30071,                0.98932,              0.0006535,              0.0006535,              0.0006535
                     38,                0.48223,                 0.3586,                 1.0322,                0.99703,                0.95344,                 0.9874,                0.90337,                0.46612,                0.30651,                0.98608,              0.0006436,              0.0006436,              0.0006436
                     39,                0.46225,                0.35267,                 1.0258,                0.98557,                0.94138,                0.98295,                0.89737,                0.44774,                0.30329,                0.97623,              0.0006337,              0.0006337,              0.0006337
                     40,                0.46446,                0.34746,                 1.0237,                0.97425,                0.94423,                0.96823,                0.89369,                0.45594,                0.30194,                0.97888,              0.0006238,              0.0006238,              0.0006238
                     41,                0.45781,                0.33705,                 1.0225,                0.97615,                0.96667,                0.98655,                0.91465,                0.43598,                0.29821,                0.96469,              0.0006139,              0.0006139,              0.0006139
                     42,                0.46195,                0.33475,                 1.0156,                  0.987,                0.95056,                0.97419,                0.88985,                0.46795,                0.29996,                0.98673,               0.000604,               0.000604,               0.000604
                     43,                0.45576,                0.34273,                 1.0183,                0.95532,                 0.9658,                0.98619,                0.90236,                0.45363,                0.28918,                0.97499,              0.0005941,              0.0005941,              0.0005941
                     44,                0.44303,                0.33194,                 1.0093,                0.97712,                0.96072,                0.98483,                 0.8997,                0.45911,                0.30038,                0.98909,              0.0005842,              0.0005842,              0.0005842
                     45,                0.45737,                0.33169,                 1.0144,                0.97152,                0.94551,                0.97982,                0.89957,                0.44822,                0.29604,                0.97473,              0.0005743,              0.0005743,              0.0005743
                     46,                0.43644,                 0.3258,                 1.0104,                0.98715,                0.95851,                0.98569,                0.89697,                0.45457,                0.29445,                 0.9789,              0.0005644,              0.0005644,              0.0005644
                     47,                0.45373,                0.34012,                 1.0201,                0.98878,                0.95164,                0.98054,                0.90048,                0.45374,                0.32263,                0.97944,              0.0005545,              0.0005545,              0.0005545
                     48,                  0.444,                 0.3337,                 1.0085,                0.96879,                 0.9731,                0.98206,                0.91076,                0.43422,                0.28588,                 0.9603,              0.0005446,              0.0005446,              0.0005446
                     49,                0.44918,                0.32605,                 1.0149,                0.98928,                0.97017,                0.99159,                 0.9098,                0.44649,                0.28671,                0.97411,              0.0005347,              0.0005347,              0.0005347
                     50,                0.43805,                0.32063,                  1.006,                0.98594,                 0.9498,                0.98412,                 0.9172,                0.42478,                0.27568,                 0.9467,              0.0005248,              0.0005248,              0.0005248
                     51,                0.43645,                0.32076,                 1.0069,                0.97823,                0.97273,                0.98492,                0.91094,                0.42823,                 0.2719,                0.95847,              0.0005149,              0.0005149,              0.0005149
                     52,                0.42999,                0.31009,                  1.002,                 0.9911,                0.94986,                 0.9849,                0.92099,                0.42703,                0.28226,                0.95001,               0.000505,               0.000505,               0.000505
                     53,                0.43916,                 0.3139,                 1.0059,                0.97253,                0.96281,                0.98497,                0.91912,                0.42264,                0.28641,                0.95217,              0.0004951,              0.0004951,              0.0004951
                     54,                0.42736,                0.30839,                0.99882,                0.98571,                0.94223,                0.98368,                 0.9158,                0.41743,                0.26399,                0.94037,              0.0004852,              0.0004852,              0.0004852
                     55,                0.41084,                0.30217,                0.99259,                0.98664,                 0.9444,                0.97514,                0.90368,                0.44486,                0.28935,                0.97159,              0.0004753,              0.0004753,              0.0004753
                     56,                0.40815,                 0.2948,                 0.9956,                0.97082,                0.97123,                 0.9847,                0.90959,                0.43765,                0.27039,                0.96376,              0.0004654,              0.0004654,              0.0004654
                     57,                0.42407,                0.30136,                0.99873,                0.99598,                0.95703,                0.98609,                 0.9141,                0.43404,                0.28311,                0.96171,              0.0004555,              0.0004555,              0.0004555
                     58,                0.41806,                 0.2991,                 1.0013,                0.98302,                 0.9602,                0.98206,                0.91511,                0.42822,                 0.2992,                0.95742,              0.0004456,              0.0004456,              0.0004456
